CNH713
CNH718
CNH732
CNP082
CNQ884
CNR510
CNR909
CNS296
CNS325
CNS342
CNS820
CNS848
CNT403
CNX435
CNY230
CNY244
CNY281
CNY363
CNY486
CNY498
CNY646
CNY666
CNY673
CNY678
CNY679
CNY681
CNY685
CNY690
CNY694
CNY703
CNB440,GCA_000016425,CNB-440,CP000667,GCA_000016425.1,ASM1642v1
CNS205,CNS-205,CP000850,GCA_000018265,GCA_000018265.1,ASM1826v1
BAA917,GCA_000259615.1,ASM25961v1,BAA-917
CNS143,ASM25963v2,CNS-143,GCA_000259635.2,AIIG01
CNT088,CNT-088,GCA_000259675.1,ASM25967v1,AIIJ01
CNS615,ASM36538v1,AQPE01000000,GCA_000365385.1
CNT849,AREQ01000000,GCA_000373825.1,ASM37382v1,KB892473
CNS673,GCA_000373845.1,ASM37384v1,ARER01000000
CNR942,KB894848,GCA_000374665.1,ASM37466v1,ARGG01000000
CNS055,KB894962,ASM37468v1,GCA_000374685.1,ARGH01000000
CNS860,GCA_000374705.1,ARGI01000000,ASM37470v1
CNS996,ASM37474v1,ARGK01000000,GCA_000374745.1
CNT045,ASM37476v1,ARGL01000000,GCA_000374765.1
CNT124,GCA_000374785.1,ARGM01000000,ASM37478v1
CNS051,ARGX01000000,ASM37500v1,GCA_000375005.1
CNP193,ASM37502v1,GCA_000375025.1,KB896072,ARGY01000000
CNP105,GCA_000375045.1,ASM37504v1,ARGZ01000000
CNS744,ASM37506v1,GCA_000375065.1,ARHA01000000
CNX481,ASM37508v1,ARHB01000000,GCA_000375085.1
CNX814,ARHC01000000,ASM37510v1,GCA_000375105.1
CNY011,ASM37512v1,ARHD01000000,GCA_000375125.1
CNY231,GCA_000375145.1,ARHE01000000,ASM37514v1
CNY256,GCA_000375165.1,ASM37516v1,ARHF01000000
CNY260,GCA_000375185.1,ASM37518v1,ARHG01000000
CNY280,GCA_000375205.1,ARHH01000000,ASM37520v1
CNQ768,GCA_000375225.1,ARHI01000000,ASM37522v1
CNT584,ASM37524v1,ARHJ01000000,GCA_000375245.1
CNT609,GCA_000375265.1,ASM37526v1,ARHK01000000
CNT851,ARHL01000000,ASM37528v1,GCA_000375285.1,KB896839
CNY237,ASM37530v1,GCA_000375305.1,ARHM01000000
CNY330,ASM37702v1,ARHN01000000,KB897006,GCA_000377025.1
CNY331,GCA_000377045.1,ARHO01000000,ASM37704v1
CNR699,ASM37706v1,ARHP01000000,GCA_000377065.1
CNQ766,GCA_000377105.1,ARHR01000000,ASM37710v1
CNS335,ARHS01000000,ASM37712v1,GCA_000377125.1
CNT372,GCA_000377145.1,ASM37714v1,ARHT01000000
CNY243,ASM37716v1,GCA_000377165.1,ARHU01000000
CNT302,GCA_000377525.1,ASM37752v1,ARIM01000000
CNY228,GCA_000377545.1,ARIN01000000,ASM37754v1
CNT859,ARIQ01000000,ASM37760v1,GCA_000377605.1
CNB091,ARJI01000000,GCA_000377965.1,ASM37796v1
CNH877,ASM37864v1,ARKR01000000,GCA_000378645.1
CNH962,ARKS01000000,ASM37866v1,GCA_000378665.1
CNR107,ASM37868v1,GCA_000378685.1,ARKT01000000
CNY282,ARKV01000000,ASM37870v1,GCA_000378705.1
CNT148,KB900388,GCA_000378825.1,DSM 45548,DSM45548,ASM37882v1,AZWJ01000000,CNT-148
CNS960,GCA_000378845.1,CNS-960,DSM 45544,ASM37884v1,DSM45544
CNT150,DSM45549,KB900614,GCA_000379065.1,AZVX01000000,CNT-150,ASM37906v1,DSM 45549
CNY234,ARKU01000000,GCA_000380945.1,ASM38094v1
CNT138,CNT-138,DSM 45547,GCA_000383575.1,KB911579,ASM38357v1,DSM45547,AZVY01000000
CNS863,DSM 45543,CNS-863,GCA_000383995.1,ARGJ01000000,KB913022,ASM38399v1,DSM45543
CNT133,ASM38409v1,CNT-133,DSM 45546,GCA_000384095.1,DSM45546
CNS991,GCA_000384275.1,ASM38427v1,DSM45545,CNS-991,DSM 45545
CNH963,GCA_000424725.1,ASM42472v1,AUKL01000000
CNS299,AUKM01000000,GCA_000424745.1,ASM42474v1
CNT318,ASM42476v1,AUKN01000000,GCA_000424765.1
CNT360,GCA_000424785.1,ASM42478v1,AUKO01000000
CNQ865,ASM42480v1,GCA_000424805.1,AUKP01000000
CNH287,AUKQ01000000,ASM42482v1,GCA_000424825.1
TAA040,AUKR01000000,GCA_000424845.1,ASM42484v1
CNT261,GCA_000424865.1,AUKS01000000,ASM42486v1
CNS243,GCA_000424885.1,ASM42488v1,AUKT01000000
CNS237,ASM42490v1,GCA_000424905.1,KE384268,AUGH01000000
CNY239,GCA_000424925.1,ASM42492v1,AUKU01000000
TAA204,GCA_000424965.1,ASM42496v1,AUKW01000000
CNS416,GCA_000425925.1,ARHQ01000000,ASM42592v1
TAA486,GCA_000426165.1,AUEV01000000,ASM42616v1
CNS606,GCA_000426325.1,AUFD01000000,ASM42632v1
CNR425,ASM48256v1,AXVS01000000,GCA_000482565.1
CNQ329,AXVU01000000,GCA_000482585.1,ASM48258v1
CNY202,AXVR01000000,AXVR01000001,GCA_000484695.1,ASM48469v1
CNT799,ASM51403v1,GCA_000514035.1,AZVD01000000
CNT603,AZVW01000000,ASM51441v1,GCA_000514415.1
CNT131,GCA_000514475.1,ASM51447v1,AZVZ01000000
CNT084,GCA_000514495.1,AZWA01000000,ASM51449v1
CNT029,ASM51451v1,AZWB01000000,GCA_000514515.1,KI911412
CNT001,ASM51453v1,GCA_000514535.1,AZWC01000000
CNX482,ASM51455v1,GCA_000514555.1,AZWD01000000
CNT003,AZWE01000001,AZWE01000000,GCA_000514575.1,ASM51457v1
CNR921,AZWF01000000,ASM51459v1,GCA_000514595.1
CNT850,AZWG01000000,ASM51461v1,GCA_000514615.1
CNH646,AZWH01000001,GCA_000514635.1,ASM51463v1,AZWH01000000
CNB458,AZWI01000000,ASM51465v1,GCA_000514655.1
CNS197,GCA_000514695.1,AZWK01000000,AZWK01000001,ASM51469v1
CNH099,ASM51471v1,GCA_000514715.1,AZWL01000000
CNT796,AZWM01000001,ASM51473v1,AZWM01000000,GCA_000514735.1
CNR894,KI911464,AZWN01000000,GCA_000514755.1,ASM51475v1
CNR114,GCA_000514775.1,AZWO01000000,ASM51477v1,AZWO01000001
CNS103,GCA_000514795.1,AZWP01000000,AZWP01000001,ASM51479v1
CNT569,AZWQ01000000,ASM51481v1,GCA_000514815.1
CNT854,ASM51483v1,AZWR01000000,GCA_000514835.1
CNT855,GCA_000514855.1,AZWS01000001,AZWS01000000,ASM51485v1
CNX508,AZWT01000001,GCA_000514875.1,ASM51487v1,AZWT01000000
CNT005,AZWU01000000,AZWU01000001,ASM51489v1,GCA_000514895.1
CNH941,AZWV01000000,ASM51491v1,GCA_000514915.1
CNX891,ASM51493v1,AZWW01000000,GCA_000514935.1
CNT857,GCA_000514955.1,AZWX01000000,ASM51495v1
CNQ748,AZWY01000001,ASM51497v1,GCA_000514975.1,AZWY01000000
CNT371,GCA_000514995.1,AZWZ01000000,ASM51499v1
CNT798,AZXA01000000,GCA_000515015.1,ASM51501v1
CNH905,GCA_000515035.1,ASM51503v1,AZXB01000000
CNR698,GCA_000515055.1,AZXC01000000,ASM51505v1
CNB536,ASM51507v1,AZXD01000000,AZXD01000001,GCA_000515075.1
CNB476,AZXE01000000,GCA_000515095.1,ASM51509v1
CNT800,AZXG01000000,ASM51513v1,GCA_000515135.1
CNH898,GCA_000515155.1,ASM51515v1,AZXH01000000
CNB527,AZXI01000001,GCA_000515175.1,AZXI01000000,ASM51517v1
CNH964,JAEY01000000,ASM51914v1,GCA_000519145.1
CNH189,GCA_000527195.1,ASM52719v1,AZUS01000000
CNY012,ASM62032v1,JHVV01000001,GCA_000620325.1,JHVV01000000
CNT250,JHVW01000000,GCA_000620345.1,ASM62034v1
CNQ525,CNQ-525,GCA_000701285.1,ASM70128v1
CNH996,JNLS01000000,GCA_000702345.1,CNH-996,ASM70234v1
CNS654,ASM70236v1,GCA_000702365.1,JNLT01000000
KRD012
KRD026
KRD077
KRD128
KRD153
KRD171
KRD174
KRD186
KRD202
KRD022
KRD070
KRD096
KRD140
KRD162
KRD172
KRD175
KRD197
KRD209
