compound_name	class:subclass	as_classes	smiles	inchi_key	cf_kingdom	cf_superclass	cf_class	cf_subclass	cf_direct_parent	npc_class	npc_superclass	npc_pathway	npc_isglycoside
BGC0000001_abyssomicin C	Polyketide:Other	T1PKS	CC1C[C@]23OC(=O)C4=C2OC1C(O)C3\C=C/C(=O)[C@@H](C)C[C@@H](C)C4=O	FNEADFUPWHAVTA-UHFFFAOYSA-N	Organic compounds	Organoheterocyclic compounds	Oxanes		Oxanes	Spirotetronate macrolides	Macrolides	Polyketides	0
BGC0000001_atrop-abyssomicin C	Polyketide:Other	T1PKS	CC1CC23OC(=O)C4=C2OC1C(O)C3\C=C/C(=O)C(C)CC(C)C4=O	FNEADFUPWHAVTA-UHFFFAOYSA-N	Organic compounds	Organoheterocyclic compounds	Oxanes		Oxanes	Spirotetronate macrolides	Macrolides	Polyketides	0
BGC0000002_aculeximycin	Polyketide:	T1PKS,oligosaccharide	CCCC(O[C@H]1C[C@](C)(N)[C@H](O)[C@H](C)O1)C(C)C(O)C(CC)\C=C\C(O)C(C)C1C\C=C(C)\C(O)C(C)C(CC(O)C(C)C(O)CC2CC(O)C(O)C(O)(CC(O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O[C@H]4C[C@@H](N)[C@H](O)[C@@H](C)O4)[C@H]3O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O)[C@H]3O)C(C)CCC(O)CC(O)C\C=C(CC)\C(=O)O1)O2)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O	VJKZKLDZOAFAEE-UHFFFAOYSA-N	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides	Diterpene glycosides				1
BGC0000003_AF-toxin	Polyketide:	T1PKS	CCC(C)C(C(=O)OC(/C=C/C=C/C=C/C(=O)O)C1(CO1)C)OC(=O)C(C(C)(C)O)O	ONOBRFRRMLDPES-UHFFFAOYSA-N	Organic compounds	Organic acids and derivatives	Peptidomimetics	Depsipeptides	Depsipeptides				0
BGC0000004_aflatoxin G1	Polyketide:	T1PKS	[H][C@@]12OC=C[C@]1([H])C1=C(O2)C=C(OC)C2=C1OC(=O)C1=C2CCOC1=O	XWIYFDMXXLINPU-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Coumarins and derivatives	Furanocoumarins	Difurocoumarolactones	Aflatoxins; Simple coumarins	Chromanes; Coumarins	Polyketides; Shikimates and Phenylpropanoids	0
BGC0000005_aflatoxin	Polyketide:		COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1	XWIYFDMXXLINPU-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Coumarins and derivatives	Furanocoumarins	Difurocoumarolactones	Aflatoxins; Simple coumarins	Chromanes; Coumarins	Polyketides; Shikimates and Phenylpropanoids	0
BGC0000006_aflatoxin	Polyketide:	T1PKS	COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1	XWIYFDMXXLINPU-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Coumarins and derivatives	Furanocoumarins	Difurocoumarolactones	Aflatoxins; Simple coumarins	Chromanes; Coumarins	Polyketides; Shikimates and Phenylpropanoids	0
BGC0000007_aflatoxin	Polyketide:	T1PKS	COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1	XWIYFDMXXLINPU-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Coumarins and derivatives	Furanocoumarins	Difurocoumarolactones	Aflatoxins; Simple coumarins	Chromanes; Coumarins	Polyketides; Shikimates and Phenylpropanoids	0
BGC0000008_aflatoxin	Polyketide:	T1PKS	COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1	XWIYFDMXXLINPU-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Coumarins and derivatives	Furanocoumarins	Difurocoumarolactones	Aflatoxins; Simple coumarins	Chromanes; Coumarins	Polyketides; Shikimates and Phenylpropanoids	0
BGC0000009_aflatoxin	Polyketide:	T1PKS	COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1	XWIYFDMXXLINPU-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Coumarins and derivatives	Furanocoumarins	Difurocoumarolactones	Aflatoxins; Simple coumarins	Chromanes; Coumarins	Polyketides; Shikimates and Phenylpropanoids	0
BGC0000010_aflatoxin	Polyketide:		COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1	XWIYFDMXXLINPU-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Coumarins and derivatives	Furanocoumarins	Difurocoumarolactones	Aflatoxins; Simple coumarins	Chromanes; Coumarins	Polyketides; Shikimates and Phenylpropanoids	0
BGC0000011_sterigmatocystin	Polyketide:	T1PKS	[H][C@]12OC=C[C@@]1([H])C1=C(O2)C=C(OC)C2=C1OC1=C(C(O)=CC=C1)C2=O	UTSVPXMQSFGQTM-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Sterigmatocystins		Sterigmatocystins	Aflatoxins; Methyl xanthones	Chromanes; Xanthones	Polyketides	0
BGC0000012_alternapyrone	Polyketide:	T1PKS	CCC(C)/C=C(\C)/CCCC(C)/C=C(\C)/C=C(\C)/CC(C)C1=C(C(=C(C(=O)O1)C)O)C	ZPFTUJZLXSKBKE-UHFFFAOYSA-N	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Terpene lactones	Diterpene lactones	Open-chain polyketides	Linear polyketides	Polyketides	0
BGC0000013_alternariol	Polyketide:	T1PKS	CC1=CC(=CC2=C1C3=CC(=CC(=C3C(=O)O2)O)O)O	CEBXXEKPIIDJHL-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Coumarins and derivatives		Coumarins and derivatives	Isocoumarins	Coumarins	Shikimates and Phenylpropanoids	0
