#mibig_id,gnps_id,mibig_name,gnps_name
BGC0001290,CCMSLIB00000001606,Emericellamide A / emericellamide B,Emericellamide A M+H
BGC0001290,CCMSLIB00000001607,Emericellamide A / emericellamide B,Emericellamide A M+Na
BGC0001239,CCMSLIB00000479609,Biotin,Biotin M+H
BGC0001007,CCMSLIB00000001657,Lymphostin,Lymphostin M+H
BGC0001007,CCMSLIB00000001659,Lymphostin,Lymphostin M+Na
BGC0001560,CCMSLIB00000001723,Cryptomaldamide,Cryptomaldamide M+H
BGC0001705,CCMSLIB00000001776,Nodularin,Nodularin M+H
BGC0001705,CCMSLIB00000001777,Nodularin,Nodularin M+H
BGC0001705,CCMSLIB00000001778,Nodularin,Nodularin M+Na
BGC0001080,CCMSLIB00000006837,Phenazine,phenazine M+H
BGC0001238,CCMSLIB00000479609,Biotin,Biotin M+H
BGC0001338,CCMSLIB00000006877,Citrinin,Citrinin M+H
BGC0001338,CCMSLIB00000006878,Citrinin,Citrinin M+Na
BGC0000820,CCMSLIB00000079263,Physostigmine,Physostigmine [M+H]
BGC0001328,CCMSLIB00000223870,Rakicidin A / rakicidin B,Rakicidin B M+H
BGC0000453,CCMSLIB00000006901,Valinomycin,Valinomycin M+H
BGC0000453,CCMSLIB00000006902,Valinomycin,Valinomycin M+K
BGC0000453,CCMSLIB00000006903,Valinomycin,Valinomycin M+Na
BGC0001006,CCMSLIB00000001657,Lymphostin,Lymphostin M+H
BGC0001006,CCMSLIB00000001659,Lymphostin,Lymphostin M+Na
BGC0000827,CCMSLIB00000001655,Staurosporine,Staurosporine M+H
BGC0000827,CCMSLIB00000006899,Staurosporine,Staurosporine M+H
BGC0000827,CCMSLIB00000223876,Staurosporine,Staurosporine M+H
BGC0000894,CCMSLIB00000006877,Citrinin,Citrinin M+H
BGC0000894,CCMSLIB00000006878,Citrinin,Citrinin M+Na
BGC0000220,CCMSLIB00000001645,Enterocin,Enterocin M+H
BGC0000220,CCMSLIB00000001647,Enterocin,Enterocin M+Na
BGC0000396,CCMSLIB00000001776,Nodularin,Nodularin M+H
BGC0000396,CCMSLIB00000001777,Nodularin,Nodularin M+H
BGC0000396,CCMSLIB00000001778,Nodularin,Nodularin M+Na
BGC0000336,CCMSLIB00000078118,Daptomycin,Daptomycin [M+2H]
BGC0000825,CCMSLIB00000001655,Staurosporine,Staurosporine M+H
BGC0000825,CCMSLIB00000006899,Staurosporine,Staurosporine M+H
BGC0000825,CCMSLIB00000223876,Staurosporine,Staurosporine M+H
BGC0000962,CCMSLIB00000001573,Barbamide,Barbamide MCl37+H
BGC0000962,CCMSLIB00000001575,Barbamide,Barbamide M+H
BGC0000826,CCMSLIB00000001655,Staurosporine,Staurosporine M+H
BGC0000826,CCMSLIB00000006899,Staurosporine,Staurosporine M+H
BGC0000826,CCMSLIB00000223876,Staurosporine,Staurosporine M+H
BGC0000070,CCMSLIB00000077081,Griseofulvin,Griseofulvin [M+H]
BGC0000070,CCMSLIB00000077082,Griseofulvin,Griseofulvin [M+H]
BGC0000198,CCMSLIB00000001663,Arenimycin B,Arenimycin B M+H
BGC0000412,CCMSLIB00000006841,Pyochelin,pyochelin M+H
BGC0000412,CCMSLIB00000072565,Pyochelin,pyochelin M+H
BGC0000088,CCMSLIB00000077133,Lovastatin,Lovastatin [M+H]
BGC0000088,CCMSLIB00000077134,Lovastatin,Lovastatin [M+H]
BGC0001341,CCMSLIB00000006901,Valinomycin,Valinomycin M+H
BGC0001341,CCMSLIB00000006902,Valinomycin,Valinomycin M+K
BGC0001341,CCMSLIB00000006903,Valinomycin,Valinomycin M+Na
BGC0001000,CCMSLIB00000001552,Hectochlorin,Hectochlorin MCl37+H
BGC0001000,CCMSLIB00000001553,Hectochlorin,Hectochlorin MCl37+Na
BGC0001000,CCMSLIB00000001555,Hectochlorin,Hectochlorin M+H
BGC0001000,CCMSLIB00000001558,Hectochlorin,Hectochlorin M+Na
BGC0001000,CCMSLIB00000001652,Hectochlorin,Hectochlorin M+H
BGC0000182,CCMSLIB00000077108,Mupirocin,Mupirocin [M+H]
BGC0001830,CCMSLIB00000001615,Rosamicin / salinipyrone A / pacificanone A,Pacificanone A M+H
BGC0001830,CCMSLIB00000001616,Rosamicin / salinipyrone A / pacificanone A,Pacificanone A M+Na
BGC0001830,CCMSLIB00000223877,Rosamicin / salinipyrone A / pacificanone A,Rosamicin M+H
BGC0000089,CCMSLIB00000077133,Lovastatin,Lovastatin [M+H]
BGC0000089,CCMSLIB00000077134,Lovastatin,Lovastatin [M+H]
BGC0000824,CCMSLIB00000001550,Scytonemin,Scytonemin M+H
BGC0000824,CCMSLIB00000001550,Scytonemin,Scytonemin M+H
BGC0001572,CCMSLIB00000001621,Desferrioxamine E,Desferrioxamine E M+H
BGC0001572,CCMSLIB00000001622,Desferrioxamine E,Desferrioxamine E M+Na
BGC0001327,CCMSLIB00000223870,Rakicidin A / rakicidin B,Rakicidin B M+H
