bgc name,x position,y position,bgc type
15294.assembled_unknown.cluster001,-24.776525,50.77779,cf_putative
15294.assembled_unknown.cluster002,8.621157,-1.8747237,cf_putative
15294.assembled_unknown.cluster003,2.333947,12.787675,tRNA_His_GTG
15294.assembled_unknown.cluster004,-1.5479966,-7.091148,cf_putative
15294.assembled_unknown.cluster005,12.6541195,27.220615,terpene
15294.assembled_unknown.cluster006,22.413677,45.461212,nrps
15294.assembled_unknown.cluster007,13.949662,56.77025,cf_saccharide
15294.assembled_unknown.cluster008,-1.1162922,8.915333,cf_putative
15294.assembled_unknown.cluster009,-10.451415,-14.087842,cf_putative
15294.assembled_unknown.cluster010,7.65794,42.812744,ectoine
15294.assembled_unknown.cluster011,-21.573296,64.86965,cf_putative
15294.assembled_unknown.cluster012,1.8829696,27.283962,cf_putative
15294.assembled_unknown.cluster013,18.922808,59.44873,tRNA_Leu_GAG
15294.assembled_unknown.cluster014,8.88484,42.296932,bacteriocin
15294.assembled_unknown.cluster015,-3.2125654,-14.801656,terpene
15294.assembled_unknown.cluster016,-22.884598,-24.978504,cf_putative
15294.assembled_unknown.cluster017,-34.056713,25.903492,cf_putative
15294.assembled_unknown.cluster018,22.686552,-42.544132,nrps-t1pks-otherks
15294.assembled_unknown.cluster019,-4.454179,7.984404,cf_putative
15294.assembled_unknown.cluster020,0.3678112,37.414852,siderophore
15294.assembled_unknown.cluster021,40.349976,-17.839622,cf_fatty_acid-t1pks-nrps
15294.assembled_unknown.cluster022,28.496387,30.190613,terpene
15294.assembled_unknown.cluster023,2.6469398,25.55284,cf_putative
15294.assembled_unknown.cluster024,14.046054,23.085722,cf_putative
15294.assembled_unknown.cluster025,18.601486,27.72443,cf_putative
15294.assembled_unknown.cluster026,38.470562,14.159199,other
15294.assembled_unknown.cluster027,17.555435,48.38707,siderophore
15294.assembled_unknown.cluster028,24.674305,52.086353,cf_putative
15294.assembled_unknown.cluster029,33.267113,42.721985,ydaO/yuaA leader
15294.assembled_unknown.cluster030,2.825549,6.9608483,cf_putative
15294.assembled_unknown.cluster031,23.590181,27.245758,cf_putative
15294.assembled_unknown.cluster032,18.11823,20.55826,cf_putative
15294.assembled_unknown.cluster033,4.066288,-12.496924,t3pks
15294.assembled_unknown.cluster034,-16.143545,27.158255,cf_putative
15294.assembled_unknown.cluster035,18.807364,39.54509,cf_putative
15294.assembled_unknown.cluster036,32.927624,30.217188,terpene
15294.assembled_unknown.cluster037,24.707134,15.631661,nrps
15294.assembled_unknown.cluster038,30.748028,33.92206,cf_putative
15294.assembled_unknown.cluster039,38.86547,23.402359,cf_putative
15294.assembled_unknown.cluster040,17.839544,53.05041,cf_putative
15294.assembled_unknown.cluster041,19.453674,42.26553,fused-cf_saccharide
15294.assembled_unknown.cluster042,28.454763,49.9115,phenazine
15294.assembled_unknown.cluster043,-12.087751,-14.769018,cf_putative
15294.assembled_unknown.cluster044,48.49636,15.685869,cf_putative
15294.assembled_unknown.cluster045,31.336586,4.1793427,other
15294.assembled_unknown.cluster046,-0.56095564,-14.469395,cf_fatty_acid
15294.assembled_unknown.cluster047,-9.464008,-37.524162,cf_putative
15294.assembled_unknown.cluster048,15.042514,20.829624,cf_putative
15294.assembled_unknown.cluster049,25.94893,-11.265921,nrps
15294.assembled_unknown.cluster050,3.3798616,47.662476,cf_putative
15294.assembled_unknown.cluster051,31.950676,39.282608,tRNA_Phe_GAA
15294.assembled_unknown.cluster052,18.22036,21.021244,nucleoside
15294.assembled_unknown.cluster053,34.18256,20.41993,cf_putative
15294.assembled_unknown.cluster054,-29.310991,16.561735,cf_putative
15294.assembled_unknown.cluster055,-19.587614,28.518494,cf_putative
15294.assembled_unknown.cluster056,6.968187,14.18778,cf_putative
15294.assembled_unknown.cluster057,21.842669,30.8057,cf_putative
15294.assembled_unknown.cluster058,45.46187,12.771958,cf_putative
15294.assembled_unknown.cluster059,4.9066014,11.169864,cf_putative
15294.assembled_unknown.cluster060,36.85972,17.884731,terpene
15294.assembled_unknown.cluster061,-20.476402,-13.776387,cf_putative
15294.assembled_unknown.cluster062,-20.641464,-25.48291,cf_putative
15294.assembled_unknown.cluster063,-47.728344,-22.52775,ASpks TB sRNA
15294.assembled_unknown.cluster064,4.5386314,-45.535297,t1pks
15294.assembled_unknown.cluster065,22.925346,44.727062,t3pks
15294.assembled_unknown.cluster066,47.003265,-17.580172,ASpks TB sRNA
15294.assembled_unknown.cluster067,9.336187,63.425613,cf_fatty_acid
15294.assembled_unknown.cluster068,19.027504,23.010462,cf_fatty_acid-lassopeptide
15294.assembled_unknown.cluster069,24.666721,14.725298,terpene-ectoine
15294.assembled_unknown.cluster070,-62.021038,-31.18995,ASpks TB sRNA
15294.assembled_unknown.cluster071,7.9786434,-3.267284,t3pks-terpene
15294.assembled_unknown.cluster072,6.7270145,14.419086,cf_putative
15294.assembled_unknown.cluster073,8.126396,43.607983,cf_saccharide
15294.assembled_unknown.cluster074,-26.46574,21.02979,cf_putative
15294.assembled_unknown.cluster075,17.116215,37.150864,cf_putative
15294.assembled_unknown.cluster076,-20.999699,-19.369585,cf_putative
15294.assembled_unknown.cluster077,-60.624035,-19.941628,nrps
15294.assembled_unknown.cluster078,-15.549033,27.583721,cf_putative
15294.assembled_unknown.cluster079,-47.44003,-5.451931,ASpks TB sRNA
