bgc name,x position,y position,bgc type
15294.assembled_unknown.cluster001,8.655305,45.689632,cf_putative
15294.assembled_unknown.cluster002,7.746223,1.9097016,cf_putative
15294.assembled_unknown.cluster003,-0.20528746,42.39475,tRNA_His_GTG
15294.assembled_unknown.cluster004,20.064434,39.48419,cf_putative
15294.assembled_unknown.cluster005,5.9476895,3.4713557,terpene
15294.assembled_unknown.cluster006,-2.4095287,25.263023,nrps
15294.assembled_unknown.cluster007,22.357208,2.8018055,cf_saccharide
15294.assembled_unknown.cluster008,61.54684,43.27363,cf_putative
15294.assembled_unknown.cluster009,41.49108,12.81993,cf_putative
15294.assembled_unknown.cluster010,9.376012,34.895832,ectoine
15294.assembled_unknown.cluster011,-24.644972,45.81243,cf_putative
15294.assembled_unknown.cluster012,11.234491,20.43395,cf_putative
15294.assembled_unknown.cluster013,15.733928,-10.598273,tRNA_Leu_GAG
15294.assembled_unknown.cluster014,15.342027,0.78884584,bacteriocin
15294.assembled_unknown.cluster015,28.366879,25.900888,terpene
15294.assembled_unknown.cluster016,36.60135,10.417333,cf_putative
15294.assembled_unknown.cluster017,30.390558,45.390507,cf_putative
15294.assembled_unknown.cluster018,-8.601638,23.92374,nrps-t1pks-otherks
15294.assembled_unknown.cluster019,17.148266,52.517796,cf_putative
15294.assembled_unknown.cluster020,-0.52326906,37.216915,siderophore
15294.assembled_unknown.cluster021,0.4592387,20.907232,cf_fatty_acid-t1pks-nrps
15294.assembled_unknown.cluster022,24.930632,27.237343,terpene
15294.assembled_unknown.cluster023,8.789953,2.44348,cf_putative
15294.assembled_unknown.cluster024,23.029514,-0.22222266,cf_putative
15294.assembled_unknown.cluster025,11.305553,22.177097,cf_putative
15294.assembled_unknown.cluster026,-2.0152733,54.18329,other
15294.assembled_unknown.cluster027,5.6620255,39.925713,siderophore
15294.assembled_unknown.cluster028,-13.766654,-15.811597,cf_putative
15294.assembled_unknown.cluster029,20.374983,37.766876,ydaO/yuaA leader
15294.assembled_unknown.cluster030,-11.169283,25.91161,cf_putative
15294.assembled_unknown.cluster031,16.827362,36.051144,cf_putative
15294.assembled_unknown.cluster032,6.282209,4.8862042,cf_putative
15294.assembled_unknown.cluster033,20.468555,37.39032,t3pks
15294.assembled_unknown.cluster034,31.449408,-5.3901105,cf_putative
15294.assembled_unknown.cluster035,-8.504064,6.8765335,cf_putative
15294.assembled_unknown.cluster036,-34.2221,25.494898,terpene
15294.assembled_unknown.cluster037,-14.878531,20.894325,nrps
15294.assembled_unknown.cluster038,34.67884,33.695526,cf_putative
15294.assembled_unknown.cluster039,-17.840706,52.036602,cf_putative
15294.assembled_unknown.cluster040,9.899089,15.704707,cf_putative
15294.assembled_unknown.cluster041,6.318996,19.124525,fused-cf_saccharide
15294.assembled_unknown.cluster042,11.958935,51.25569,phenazine
15294.assembled_unknown.cluster043,8.890749,26.986458,cf_putative
15294.assembled_unknown.cluster044,-14.299689,-8.702196,cf_putative
15294.assembled_unknown.cluster045,16.817835,15.415661,other
15294.assembled_unknown.cluster046,19.186087,-0.82836694,cf_fatty_acid
15294.assembled_unknown.cluster047,60.74318,13.720136,cf_putative
15294.assembled_unknown.cluster048,59.431633,-9.497831,cf_putative
15294.assembled_unknown.cluster049,-0.57037246,17.688658,nrps
15294.assembled_unknown.cluster050,9.322395,17.349806,cf_putative
15294.assembled_unknown.cluster051,5.6542373,26.011396,tRNA_Phe_GAA
15294.assembled_unknown.cluster052,27.949562,14.41715,nucleoside
15294.assembled_unknown.cluster053,-10.785421,4.532476,cf_putative
15294.assembled_unknown.cluster054,4.0102386,42.87604,cf_putative
15294.assembled_unknown.cluster055,12.922306,35.546032,cf_putative
15294.assembled_unknown.cluster056,27.478434,0.9898633,cf_putative
15294.assembled_unknown.cluster057,12.344208,27.195635,cf_putative
15294.assembled_unknown.cluster058,-8.055671,72.45891,cf_putative
15294.assembled_unknown.cluster059,-13.770641,13.694153,cf_putative
15294.assembled_unknown.cluster060,13.1111,43.117004,terpene
15294.assembled_unknown.cluster061,72.66133,-3.1922448,cf_putative
15294.assembled_unknown.cluster062,8.705951,8.521038,cf_putative
15294.assembled_unknown.cluster063,11.3356695,11.077454,ASpks TB sRNA
15294.assembled_unknown.cluster064,10.599502,-15.238775,t1pks
15294.assembled_unknown.cluster065,-16.957932,21.718304,t3pks
15294.assembled_unknown.cluster066,5.801987,-14.516599,ASpks TB sRNA
15294.assembled_unknown.cluster067,-26.555635,1.4244709,cf_fatty_acid
15294.assembled_unknown.cluster068,33.305706,-13.112737,cf_fatty_acid-lassopeptide
15294.assembled_unknown.cluster069,-9.855443,-6.1229753,terpene-ectoine
15294.assembled_unknown.cluster070,0.3225665,-13.810565,ASpks TB sRNA
15294.assembled_unknown.cluster071,6.8825226,20.478582,t3pks-terpene
